----B..R---.RRRR--.R.RBB-.BRRBBB-RRRBB.--RBB..---BB..---,R,R
----B..R---..RRR--.RRRBB-.BRRBBB-RRRBB.--RBB..---BB..---,B,R
----B..R---..RRR--.RRRBB-B.RRBBB-RRRBB.--RBB..---BB..---,R,R
----B..R---..RRR--..RRBB-BRRRBBB-RRRBB.--RBB..---BB..---,B,R
----RRRR---RRRR.--RRR...-RR...BB-...BBB--.BBBB---BBBB---,B,B
----RRRR---RRRR.--RRR..B-RR...B.-...BBB--.BBBB---BBBB---,R,B
----RRRR---RRR..--RRRR.B-RR...B.-...BBB--.BBBB---BBBB---,B,B
----RRRR---RRR..--RRRRB.-RR...B.-...BBB--.BBBB---BBBB---,R,B
----RR.R---RRRR.--RRRRB.-RR...B.-...BBB--.BBBB---BBBB---,B,B
----RR.R---RRRRB--RRRR..-RR...B.-...BBB--.BBBB---BBBB---,R,B
----RR.R---RRRRB--RR.R..-RR.R.B.-...BBB--.BBBB---BBBB---,B,B
----RR.R---RRRRB--RR.R..-RR.RBB.-...B.B--.BBBB---BBBB---,R,B
----RR.R---R.RRB--RRRR..-RR.RBB.-...B.B--.BBBB---BBBB---,B,B
----RR.R---R.RRB--RRRR..-RR.RBB.-...BBB--.BB.B---BBBB---,R,B
----.R.R---RRRRB--RRRR..-RR.RBB.-...BBB--.BB.B---BBBB---,B,B
----.R.R---RRRRB--RRRR..-RR.RBB.-..B.BB--.BB.B---BBBB---,R,B
----.R.R---RRR.B--RRRRR.-RR.RBB.-..B.BB--.BB.B---BBBB---,B,B
----.R.R---RRR.B--RRRRR.-RR.RBB.-..B.BB--BBB.B---.BBB---,R,B
----..RR---RRR.B--RRRRR.-RR.RBB.-..B.BB--BBB.B---.BBB---,B,B
----..RR---RRR.B--RRRRRB-RR.RB..-..B.BB--BBB.B---.BBB---,R,B
----...R---RRRRB--RRRRRB-RR.RB..-..B.BB--BBB.B---.BBB---,B,B
----...R---RRRRB--RRRRRB-RR.RB..-..BB.B--BBB.B---.BBB---,R,B
----...R---RRRRB--RRRR.B-RR.RBR.-..BB.B--BBB.B---.BBB---,B,B
----...R---RRRRB--RRRR.B-RR.RBR.-..BB.B--BBBBB---.BB.---,R,B
----...R---RRRRB--RR.R.B-RRRRBR.-..BB.B--BBBBB---.BB.---,B,B
----...R---RRRRB--RR.R.B-RRRRBR.-..BBB.--BBBBB---.BB.---,R,B
----...R---RRR.B--RR.RRB-RRRRBR.-..BBB.--BBBBB---.BB.---,B,B
----...R---RRR.B--RR.RRB-RRRRBR.-..BBBB--BBBB.---.BB.---,R,B
----...R---RR.RB--RR.RRB-RRRRBR.-..BBBB--BBBB.---.BB.---,B,B
----...R---RR.RB--RR.RRB-RRRRBRB-..BBB.--BBBB.---.BB.---,R,B
----...R---RR.RB--RR.RRB-R.RRBRB-.RBBB.--BBBB.---.BB.---,B,B
----...R---RR.RB--RR.RRB-R.RRBRB-BRBBB.--.BBB.---.BB.---,R,B
----...R---RR.RB--RR.RRB-R.RRBRB-B.BBB.--RBBB.---.BB.---,B,B
----...R---RR.RB--RR.RRB-RBRRBRB-..BBB.--RBBB.---.BB.---,R,B
----...R---RR.RB--RR.RRB-.BRRBRB-R.BBB.--RBBB.---.BB.---,B,B
----...R---RR.RB--RR.RRB-.BRRBRB-RB.BB.--RBBB.---.BB.---,R,B
----...R---RR.RB--R.RRRB-.BRRBRB-RB.BB.--RBBB.---.BB.---,B,B
----...R---RR.RB--R.RRRB-B.RRBRB-RB.BB.--RBBB.---.BB.---,R,B
----...R---R..RB--RRRRRB-B.RRBRB-RB.BB.--RBBB.---.BB.---,B,B
----...R---R..RB--RRRRRB-B.RRBRB-RBBBB.--RB.B.---.BB.---,R,B
----...R---.R.RB--RRRRRB-B.RRBRB-RBBBB.--RB.B.---.BB.---,B,B
